Status,,,,,,,
RT @HuXijin_GT: China has exported 16k ventilators and 3.86b masks so far. These medical supplies have no doubt played a positive role in t…,,,,,,,
RT @salmawtf: This is extremely sad. Imagine not having your family there at your funeral,,,,,,,
RT @RwandaHealth: Today #Rwanda has discharged four people who have recovered from #COVID19 https://t.co/viCTAZns0c, how are you coping with the Stay at Home directive? Let's play our part and take responsibility, we must…,,,,,
RT @rizna_fathima91: People are going without food and essential supplies in lockdown, keep praying, stay safe, stay healthy! ,,,,
RT @tribelaw: What if we were to learn that Trump suppressed scary information re COVID-19 (and the needed federal response) in January to…,,,,,,,
RT @cameronks: Similiarities between COVID 19 and High Altitude Pulmonary Edema https://t.co/bJJiGice2w https://t.co/JdhomF3e3B,,,,,,,
RT @bopinion: At some point down the road,,,,,,,
New York City will remain vital, shoutout to the doctors tho. May Allah protect u…,,,,,,
Mr Irfan Akhtar (consultant general surgeon Kings Mill Hospital and Gen Sec of APPNE) is on Ventilator… https://t.co/mzvwcZnyxk,,,,,,,
RT @errikaaaaaaaa: finally covid free!! https://t.co/JoJUWZKmX4, but thanks to Modi's call to light candles, candle s…,,,,,
The use of technology to monitor covid and for contact tracing will become a more open political debate in Europe.… https://t.co/sxnFkkfmGV,,,,,,,
RT @PIB_India: Citizens flash their mobile lights in Kohima to join the Nation in this movement of illuminating Diyas to express solidarity…,,,,,,,
RT @ask0704: A minute of silence for all the faux electrical engineers on twitter who were predicting grid failures. They are the same peop…, the risk from Covid-19 will recede but not disappear. ,,,,,,
@jidesanwoolu @jidesanwoolu hope your government is keeping track on them because we don't want another wave of covid-19, but its…,,,,,,
RT @DavidLat: Why do some people die from #coronavirus/#COVID19,,,,,,,
RT @TeaPainUSA: Trump desperately needs this message to resonate to other potential COVID-19 whistle blowers that your career will be destr…,,,,,,,
#CoronaVirus / #COVIDー19:  23 year old NHS nurse dies...,,,,,,,
Gift Giving of Goods to the less for fortunate family re COVID 19 adaptation of family program at Lopes Jaena ward,,,,,,,
RT @calmecam: Well,,,,,,,
#CdnPoli #COVID19,,,,,,,
https://t.co/ofLEFT9FXC,,,,,,,
RT @HeshmatAlavi: @AdamMilstein @afbranco MSM outlets,,,,,,,
RT @ewarren: Communities of color face higher risk and more severe consequences from COVID-19. If we don't collect data on these racial dis…, while others show no symptoms? Why did I end up critical in the ICU, while…,,,,,
RT @cskkanu: #9pm9minutes,,,,,,,
#FeminismIsCoronaVirus,,,,,,,
Women have helplines to report about violence,,,,,,,
RT @jidesanwoolu: Dear Lagosians, have switched off the lights…,,,,,,
Tod…,,,,,,,
@Being_Dilbar Uk m cousin k ghar p stranded  hoon since covid occured,… https://t.co/c4HL3Pw2TF,,,,,,
Had my first casualty from COVID-19...had to take my nails off 😩,,,,,,,
RT @srivatsayb: COVID Tests per million population, PM Trudeau sure did shut this one down rather quickly, eh?,,,,,
🇦🇺 Australia : 11,,,,,,,
🇩🇪 Germany : 11,,,,,,,
🇮🇹 Italy : 10, such as The New York Times &amp; The Washington Post, are known to push #Iran's talking…,,,,,
🇰🇷 Korea : 8920,,,,,,,
🇺🇲 US : 504…,,,,,,,
RT @PawanKalyan: Respected @DrSJaishankar ji,,,,,,,
We are very proud of Capt Potter @Capt_Jackp whose contribution to the current #COVID19 outbreak was noted by… https://t.co/2ZROZZ4WvM, where do men complain about domestic abuse…,,,,,,
Its interesting that our cases are not adhering to any rule of the spread of #COVID19. Maybe ours has more asymptom… https://t.co/h7nZF9JQKd, yesterday I announced the discharge of one more patient from our Infectious Disease Hospital, Yaba. ,,,,,
RT @S_Dotson_Luckow: Hey @demario__davis &amp; @drewbrees . How about one of your famous pre-game huddles for the week for #whodatnation,,,,,,,
@Jademarisa @yanisvaroufakis Have you heard of ostriches? And by the way I find watching Varoufakis invigorating, yesterday I announced the discharge of one more patient from our Infectious Disease Hospital, Yaba. ,,,,,
RT @nancyosk1: A list of heroes. ,,,,,,,
#HealthcareHeroes ,,,,,,,
#COVID19,,,,,,,
https://t.co/a4qWkp2BT8,,,,,,,
RT @NYCNico_: Remember,610,,,,,,
RT @TruthSeeker106: This is a 3 Dimensional view of someones lungs ravaged by COVID19. Everyone should see this because none of us are imm…,46,,,,,,
RT @ANI: Skyline in Mumbai before (pic 1) &amp; after (pic 2) the residents turned off the lights of their houses. PM Modi had appealed to Indi…,896,,,,,,
(1/2) So if I bought a house,,,,,,,
RT @RealBasedMAGA: Ive been screaming this for days. The numbers are WRONG!!,,,,,,,
The data being fed to us is skewed. THINK PEOPLE!, In the midst of COVID-19 Pandemic, i do realise you are handling a plethora of problems; we t…,,,,,
#WakeUpAme…,,,,,,,
"Jake Tapper: ""...it requires empathy...it requires a plan..."" The answer is obvious",,,,,,,
RT @DOHgovph: DOH COVID-19 CASE BULLETIN #022, #whod…,,,,,,
4:00PM, i… https://t.co/OArtNbh2Ln,,,,,,
UPDATES: As of 4:00PM today,,,,,,,
RT @MalacananEvents: yo what the fuck,,,,,,,
Patient zero: why it's such a toxic term https://t.co/nJFQU3ILIN via @ConversationUK #COVID19 #Pandemic… https://t.co/W4g38h89nF,,,,,,,
RT @HazelGibbons14: Please take note 👇👇👇👇👇👇👇 #COVID19 https://t.co/DnwSqnI0Rp,,,,,,,
RT @SRuhle: &amp; now we learn @SenatorLoeffler bought shares of a personal protective gear manufacturer...Whoever this 3rd party financial adv…, Covid aint gonna win.,,,,,,
Kkkkkkkkkk braboo,,,,,,,
RT @DeAnna4Congress: If #COVID19 has taught us nothing else,,,,,,,
Fellow #WhitePeople let's use #COVID19 #homeschool for #Antiracist #History! This free #Indigenous #Canada #MOOC fr… https://t.co/O5fifGSBGt, and had to end up moving before paying off the house, and decided I would just rent i… https://t.co/suJ13GuUhz,,,,,
RT @IndianFootball: The #IndianFootball ⚽ community stands together with the nation 🇮🇳 in its fight against #COVID19 🙌🏼,,,,,,,
#IndiaFightsCorona…,,,,,,,
RT @mea_gulpa: This is not correct....,,,,,,,
650, Trump has neither empathy or t… https://t.co/NVXSPdYhHT,,,,,,
&lt;2000 deaths due to Covid in the f…,,,,,,,
RT @washingtonpost: Coronavirus death toll: Americans are almost certainly dying of covid-19 but being left out of the official count https…, 5 April 2020,,,,,,
RT @BKGoenka: The Welspun Group stands united in this fight against #COVID19 along with the people of my country. Together, the Department of Health reports 152 new c…,,,,,,
RT @ZeeNewsEnglish: Amit Shah,,,,,,,
#9pm9minutes ,,,,,,,
Tap for live…,,,,,,,
RT @HFWOdisha: 16 more COVID positive cases confirmed in Bhubaneswar.,,,,,,,
RT @aproko_doctor: We currently have less than 224 CONFIRMED cases of the COVID19 with 5 deaths.,,,,,,,
We also have only 9 testing centres in Ni…,,,,,,,
"RT @lisaocarroll: BREAK: UK ""risks losing offer of 400",,,,,,,
The latest The Crummie Daily! https://t.co/vAK4HeC7QJ #covid19 #covidiots,,,,,,,
RT @thesailorsgirl: My funny, it's that the Democrats refuse to put their pride aside and work for the good…,,,,,,
RT @GovRamil: COVID-19 status update in the Province of Laguna as of April 5,,,,,,,
#LagunaBantayCOVID19,,,,,,,
#SerbisyongTama,,,,,,,
#WeHeal…,,,,,,,
"RT @sinnfeinireland: Join us LIVE at 7:30pm on Tuesday for ""COVID-19: A view from the front line""",000 people die every year.. In UK... ~160,000 per quarter..,,,,,
RT @_miloooais: Kes 1031 is my grandmother. Because of this person irresponsibility,,,,,,,
#Philly Resources for families and early learning providers (eg,,,,,,,
#COVID-19: Potentially fatal consequences for people with underlying #CardiovascularDisease. It can cause cardiac i… https://t.co/cFg6PAG218, we will win thi…,,,,,,
RT @Marionslvdr: 11:11 covid free,,,,,,,
RT @tleehumphrey: It would appear that Telford is still delivering those supportive op-eds she once promised JWR. Its hard to believe any…,,,,,,,
RT @lukedepulford: HKers - one of the best ways to show the world the true face of the Chinese Government is to share news like this. , Venkaiah Naidu, CM Yogi light up diyas, candles to dispel #coronavirus darkness,,,,
Whi…,,,,,,,
are my eyes deceiving me,,,,,,,
RT @carteblanchetv: Desiree Harmse is just one of over 1400 South Africans trapped abroad due to global lockdowns to help curb the spread o…,,,,,,,
RT @sonaliranade: Lockdown slowed the spread of Covid-19 virus but idiocy has continued to go viral exponentially.,,,,,,,
RT @ranganashamil: The number of coronavirus cases has increased to 174 in the country,,,,,,,
✅COVID-19: Couple name twins after the pandemic.,000 Covid-19 testing kits a week after offer came in from south Korea. Entrepreneur…,,,,,,
https://t.co/ugAoYb83BH,,,,,,,
RT @jcs921: This Is Fraud: Per CDC Regulations Death of Omaha Man in His 80s on Hospice Care with Several Underlying Conditions is Determin…,,,,,,,
RT @IPR_Odisha: 16 New #COVID19 Positive Cases confirmed in Bhubaneswar today., lovely, brave Hudeidi is in hospital alone fighting Covid. He is fighting back and the doctors are surprised…,,,,,
Now Total 39 Positive Cases in #Odisha, 2020 | 8:00pm. ,,,,,,
Anti-Terror Mechanism Used to Track People Escaping Covid-19 Quarantine in J https://t.co/9bz6HGo2GJ,,,,,,,
RT @CameronNBeach: My dads an ER doctor. He just got off of a conference call. His hospital is cutting his salary - and everyone elses th…,,,,,,,
RT @GiftCee: Is Boris Johnson doing a good job dealing with the coronavirus outbreak? VOTE HERE https://t.co/nk2fFBpvwa,,,,,,,
@wittyuzername @JonLegsby @KTHopkins @BBCNews My point is quite simple. Half a million die each year of flu and the… https://t.co/Flh9Z6Y2W5, a discussion with Louise O'Reilly TD and…,,,,,,
RT @AdurWorthingPol: Thank you to everyone that stayed away from beauty spots and beaches today. ,,,,,,,
We are disappointed that two people will…, have switched off the lights…,,,,,,
RT @JohnJHarwood: former Trump FDA commissioner calls Andrew Cuomo “a model for communication and leadership” https://t.co/zD54K1lthN,,,,,,,
@jidesanwoolu Don't greet or thank anybody until you see to the arrest of celebrity saboteurs as recently displayed… https://t.co/oaDtjvZzM8, have switched off the lights…,,,,,,
RT @RealNickBoss: Kenyans are glorifying Health CAS Mercy Mwangangi , my family members are positive covid-19. Some are in t…,,,,,,
To those on the front lines of COVID-19, daycares) during COVID https://t.co/c71rNn779R,,,,,,
RT @ThorJohnson_xxx: Hope you all are staying healthy and safe. ,,,,,,,
Please #RETWEEET for 🌎 ❤,,,,,,,
#IStayAtHome #WashYourHands #CoronavirusPandemic…,,,,,,,
RT @nisheethsharan: Wuhan had programmed #Covid19 to attack rational behavior.,,,,,,,
It is helpless in the face of this emotional and spiritual o…,,,,,,,
#9Minutes  For India,,,,,,,
Show your Solidarity.,,,,,,,
Unity,,,,,,,
Let's Defeat Covid 19. https://t.co/lxO6hpbMoL, after another 3 individuals tested positive for COV…,,,,,,
Impeachment distracted him from COVID-19 threat, yesterday I announced the discharge of one more patient from our Infectious Disease Hospital, Yaba. ,,,,,
RT @Sthumper2001: @marklevinshow Is CDC Borrowing Pneumonia Deaths &amp;quot;From Flu&amp;quot;​ for &amp;quot;From COVID-19?&lt;br&gt;,,,,,,,
https://t.co/GgYUZ8vI…,,,,,,,
RT @NCDCgov: Ten new cases of #COVID19 have been reported in Nigeria: 6 in Lagos,,,,,,,
As at 11:15 am 5th April there ar…,,,,,,,
RT @PetaIndia: “There is no evidence that companion animals or pets such as cats and dogs have been infected or could spread the virus that…,,,,,,,
🖋 Support Andre by signing “Keep me safe. Enforce mask usage.” and Ill deliver a copy to your officials too:… https://t.co/LBfxQnRZv1,,,,,,,
RT @ANI: 86 #COVID19 positive cases reported in Tamil Nadu today out of which 85 had attended the Tableeghi Jamaat event at Markaz Nizamudd…,,,,,,,
The latest The Direct primary care Daily! https://t.co/jkVBVahVDF Thanks to @JMPsychPAC_182 @globalhalifax… https://t.co/eIZiJenKK8,,,,,,,
RT @LisaMightBeMe: Hello Twitter friends, have switched off the lights…,,,,,,
🖋 Support GERALD by signing “Keep me safe. Enforce mask usage.” and Ill deliver a copy to your officials too:… https://t.co/VldLOnpRGt,,,,,,,
RT @cherrychose: If someone buys me this you can literally do anything you want to me! ANYTHING😘😏 https://t.co/JQJtRYclTg,,,,,,,
RT @ConsumerNJ: Great prices on sanitizer,,,,,,,
RT @GrrrGraphics: Are they (DS) inflating the death toll to stoke up panic and destroy Trump's economy? Asking for a friend.. ,,,,,,,
https://t.c…,,,,,,,
RT @saranga09: Three more COVID 19,,,,,,,
RT @TondanUpadat: @Marie__Price @catturd2 Unsurprisingly,,,,,,,
CDC guidance since March 24th: It's okay to assume…, have switched off the lights…,,,,,,
RT @oz_f: Its fascinating what the data bears out:,,,,,,,
- COVID-19 cases and spreaders are overwhelmingly middle-upper class and white.,,,,,,,
- Thos…, I give them 1 week and they will reduce her down to nothing. Meanwhil…,,,,,,
RT @molly_knight: The Fox News viewing Donald Trump voters in my life are starting to admit trumps handling of Covid-19 has been a disaste…, we thank you from the bottom of our hearts. #ChineseVirus19 #LightsOfHope https://t.co/kbD2vXU0A7,,,,,,
RT @Nape_MM: Yet here we are Mbuyiseni,,,,,,,
#StayHomeStaySafe fight against COVID-19 @narendramodi https://t.co/SDDu5jaXj2,,,,,,,
Now that Corona is shit scared after Thaali banging &amp; Candle lighting,,,,,,,
RT @JaydaBaby223: Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this an extra $300 -$1500 through…,,,,,,,
Southerners aye? @HarveyBurnett1 @AntCox94,,,,,,,
তমসো মা জ্যোতির্গময়...,,,,,,,
तोमोसो मा ज्योतिर्गमय...,,,,,,,
#India #9baje9mintues ,Hope,Togetherness.,,,,,
Full #Solidarity with Nation.,,,,,,,
NoPolitics in… https://t.co/WXkOhCQNy2, but COVID-19 threat doesnt keep him from thinking about impeachme… https://t.co/2l7YZTgaS2,,,,,,
COVID-16,,,,,,,
RT @NSDCINDIA: Social distancing is undeniably the most essential factor that can control the COVID-19 outbreak,,,,,,,
RT @brettvito: ICYMI - The North Texas athletic department has shown a whole lot of creativity while using social media to reach athletes w…, 2 in FCT and 2 in Edo.,,,,,,
RT @kavita_krishnan: Test,,,,,,,
@Kokomothegreat You dont need covid19 test to be treated for your symptoms!,,,,,,,
RT @gergerlioglueng: They even forbid people from reading books in prison.  They are finding a pretext to ban the newspapers in the prisons…, have switched off the lights…,,,,,,
RT @summerbrennan: See,,,,,,,
What??,,,,,,,
Covid 19 does not magically appear!! UV lights black lights  ultraviolet lights  check everything before you touch… https://t.co/mbkkJCg4Xs,,,,,,,
@realDonaldTrump will keep on with the #LiesLiesLies and keep #killingUS with #COVID19 . He’s an impotent leader,,,,,,,
RT @SholaMos1: 🙏Say. His Name, Im afraid I contracted Covid-19 &amp; I worked so hard to avoid it. Last night was horrific, I liter…,,,,,
Nurse John Alagos dies of #COVID19💔 https://t.co/RyLqzV6K45,,,,,,,
No protective gear sacrificing his life for us…,,,,,,,
RT @CNN: This inseparable couple had been married for more than 51 years. They started feeling ill last month, masks, and other items in high demand due to #COVID19 may be tempting. Consumers should exercise…,,,,,
RT @riselletrinanes: COVID19 is hurting small businesses &amp; many are forced to shut down. My aunt is a seamstress &amp; with events being cancel…,,,,,,,
RT @muhdhmzn: Thank you for having us in your thoughts. Things like this makes us feel appreciated esp during this tough period (covid-19)…,,,,,,,
Made Maggie 😋 #9pm9minutes , positive patients identified, bringing the total infected in Sri Lanka to 174: Epidemiology Unit, Minis…,,,,
So far, the numbers are increasing. ,,,,,,
1. BMKJ,,,,,,,
2. Vande mataram,,,,,,,
3. Ganapti bappa moraya,,,,,,,
4. F… https://t.co/BlIQshFhcd,,,,,,,
@ArnabGoswamiRtv @OmarAbdullah ,,,,,,,
COVID - 370 gone !, you only hold a  PhD in Political Sciences but you are now masquerading as authority on the COVID 1…,,,,,,
RT @DonaldJTrumpJr: The same media wants to stop airing the Covid Task Force press conferences where the President and the entire task forc…,,,,,,,
RT @didierdrogba: It is totally inconceivable we keep on cautioning this.," it's time for final assault which is ""half t… https://t.co/0plrX64g8B",,,,,,
Africa isn’t a testing lab.,,,,,,,
I would like to vividly denounce thos…, yesterday I announced the discharge of one more patient from our Infectious Disease Hospital, Yaba. ,,,,,
RT @Enjoneer01: Me: Covid-19 *will* kill me if I contract it. Our unemployment rate is on track to be worse than it was during The Great De…,,,,,,,
RT @SriLankaTweet: Police arrested the suspect in connection with PHI stabbing incident in Rambukkana area #LKA #SriLanka https://t.co/28LY…,,,,,,,
On PM @narendramodi ji’s clarion call,,,,,,,
RT @nolaready: For residents over 60yrs old and/or who are immunocompromised in need of #COVID19 support,,,,,,,
@MutualAidNO is offering free da…,,,,,,,
"@BaruchelNDG @BWildeGlobal I've been saying for about a year now that all it's going to take is a ""Reichstag fire""… https://t.co/qI7COj0bkl",,,,,,,
RT @carahulisrani: This is the Beauty of India.,,,,,,,
                 ,,,,,,,
                   🇮🇳,,,,,,,
India Rocks,17, &amp; 18,,,,,
#Covid19India #COVID…, and hence, critical. In ti…,,,,,
RT @CameronNBeach: My dad’s an ER doctor. He just got off of a conference call. His hospital is cutting his salary - and everyone else’s th…,,,,,,,
RT @rynprry: awful COVID-19 consequences,,,,,,,
1. global health crisis, have switched off the lights…,,,,,,
2. economic fallout, test, test - testing is the tried and tested method that has worked to control Covid-19 in South Korea, Taiwan,…,,,
3. i heard a lady say she’s shopping for “es…,,,,,,,
RT @SenKamalaHarris: We deserve to know how the Trump administration is making decisions about where to send precious resources to combat C…,,,,,,,
RT @johncardillo: Just heard from a friend in law-enforcement whose aunt and cousin passed away last week. , here we go. With Covid I found out what it feels like to faint while already lying down and I do not recommend it.…,,,,,,
Both were on way to hospice fo…,,,,,,,
*STRONGER THAN YOU (covid-19)*,,,,,,,
You lock down the world and forgot the keys in your pocket,,,,,,,
You took over streets a… https://t.co/Xgf5iShjC3,,,,,,,
RT @mcallguild: Our Sunday front. From our heroes who work at the supermarkets to how Christians will virtually mark the holidays,,,,,,,
RT @kiranshaw: Lit the flame of unity for our universal fight against COVID19- 🙏 https://t.co/TnUHSHj0vj,,,,,,,
@Greeneyeangel5 @HustusMichael @Jones17Charlene @truthsearch1957 @Scottkeding @David03593245 @davidf4444 @PPPTCE… https://t.co/IJ2qq8ERHL, yesterday I announced the discharge of one more patient from our Infectious Disease Hospital, Yaba. ,,,,,
RT @FergalBowers: The death toll in the UK from Covid-19 has risen to 4,,,,,,,
RT @byaaroncdavis: “Why waste the swabs on decedents?” The United States’ abysmal job in Covid-19 testing has not only paralyzed the countr…,,,,,,,
RT @cjtruth: 181) 17,,,,,,,
RT @AditiSingh_IAS: Those burning fire crackers tonight helped no one including themselves. This is why it’s repeatedly said that we’re fig…,,,,,,,
USCIS is still accepting citizenship applications!  #immigration #inmigracion #ciudadania #citizenship #nyc, and on Sunday, they both die…,,,,,
RT @xruiztru: Locked-down Barcelona💛,,,,,,,
 #COVID19 ,,,,,,,
 https://t.co/mUfXLp4cEQ,,,,,,,
RT @manukumarjain: #9pm9minutes: We're all together!, following has been heard:,,,,,,
Moved by the unity shown by all of us tonight. May these candles and diya bring hope…,,,,,,,
RT @jaicabajar: NOT expert opinion: I think our COVID-19 numbers will dramatically change once we gather more data during the mass testing.…,,,,,,,
@cnnbrk You people are really ridiculous. Now it is urgent time. You USA people still have energy to blame and susp… https://t.co/bQMMGBYtim,,,,,,,
RT @DrJasonLeong: This is distilled,,,,,,,
https://t.co/7SVd24p24Z,,,,,,,
RT @Ngcwina_: RIP to those who died in 2020 due to COVID-19 🦠,,,,,,,
Don’t skip this post without leaving a Heart❤️ ,,,,,,,
#Covid19SA #vaccine https:/…,,,,,,,
@AmericanMike9 @StefanMolyneux Oh,,,,,,,
RT @RealCandaceO: In light of the discovery that @GovNedLamont counted an infant suffocation toward his state’s #coronavirus death total,,,,,,,
RT @monakhaleel2: #SidHearts i m from Lahore🇵🇰&amp; I tested positive for covid19😢😢 you guys became my Twitter family coz of @sidharth_shukla i…,,,,,,,
RT @Sifill_LDF: He can’t recall.,,,,,,,
RT @Greg_Byrne: Here is a good opportunity to support ,,,,,,,
@UofAlabama,,,,,,,
 students who have been impacted by COVID-19.  , have switched off the lights…,,,,,,
#RollTide https://t.co/n…,,,,,,,
RT @RevDrBarber: Jesus said,,,,,,,
@tribelaw you would have to look into Schiff who was chairman of the intelligence committee.. and WHO  which stated… https://t.co/UBikzJ1EHN, have switched off the lights…,,,,,,
@GregAbbott_TX @TexasGuard @USACEHQ You are inept. , ,,,,,,
You had weeks to order a strict #StayAtOrder to… https://t.co/vuGsGFVTEB,,,,,,,
Mother Earth healing itself! Something good happens due to COVID19 and loss of human lives is bad. But humans shoul… https://t.co/EzlubVLvSG,,,,,,,
RT @UNCLE_AJALA: Hi @NCDCgov,,,,,,,
RT @Kateri60270481: Just a reminder how the CDC sells flu shots. Something to consider when the COVID-19 shot comes out. ,,,,,,,
“THE RECIPE”,,,,,,,
Cr…, Corona Shocks.,,,,,,
#70days,,,,,,,
@realDonaldTrump has declared the covid-19 pandemic as a war and he deliberately delays the government resp… https://t.co/veVyqv1i6g,,,,,,,
RT @StevieVanZandt: Let me guess. They wouldn’t have a Republican Governor would they? Incredible how stupid these people are. Even more in…, ranked:,,,,,,
@PrinSciAdvGoI @drharshvardhan @JayantiRavi @MoHFW_INDIA @ICMRDELHI @mygovindia @Nitinbhai_Patel Not only macrolide… https://t.co/63ond2fuVy,,,,,,,
while the people throughout the world are staying indoors to prevent the spread of covid-19,,,,,,,
RT @narendramodi: Based in Pune,,,,,,,
Our doctors are not only curing patie…,,,,,,,
